cycle,coherence,epsilon,epsilon_gw,phi_reconstructed,phi_pred,eps_pred,dphi,deps,entropy_flux,closure_energy
69,0.61370679,1679.88134362,0.167988134,0.63019879681829,,,-0.003999390000000047,11.029910670000163,0.0003625949583177715,1030.9545869739172
70,0.61351799,1680.40543711,0.168040544,0.6293024763670916,,,-0.00018879999999998898,0.5240934900000411,0.0003602410700421658,1030.9589661607986
71,0.60754007,1695.725984,0.169572598,0.6275970963601558,,,-0.00597791999999997,15.320546889999832,0.0003901897264197365,1030.2214830201788
72,0.60653965,1698.3207981,0.16983208,0.6256254234647507,,,-0.0010004200000000019,2.5948141000001215,0.0003855459239312786,1030.0989024672947
73,0.60576557,1700.33469458,0.170033469,0.6234800063982022,,,-0.0007740800000000103,2.0138964799998575,0.0003843693095961396,1030.0042154530295
74,0.59344444,1733.13026455,0.173313026,0.6207663275065473,,,-0.012321130000000013,32.79556997000009,0.00037569494937563625,1028.5165192929264
75,0.59083612,1740.25624931,0.174025625,0.6206882977616096,,,-0.0026083199999999973,7.1259847599999375,0.0003660294103174578,1028.206250148073
76,0.58885426,1746.19043413,0.174619043,0.6178803864432789,,,-0.001981860000000002,5.934184820000155,0.0003339734200705223,1028.2516759086998
77,0.58605761,1753.95866257,0.175395866,0.6175365634510223,,,-0.002796649999999956,7.7682284399998025,0.0003600112974587055,1027.9208218245706
78,0.57984118,1771.50597147,0.177150597,0.6152087435939015,,,-0.0062164300000000505,17.54730890000019,0.00035426685852927095,1027.192112874211
79,0.57145948,1795.79535333,0.179579535,0.614980505453192,,,-0.008381699999999936,24.28938185999982,0.0003450767108016853,1026.224278800378
80,0.55989788,1833.31737581,0.183331738,0.6130580033273743,,,-0.01156160000000006,37.52202248000003,0.0003081283799628469,1026.4705120831823
81,0.55255211,1856.17996231,0.185617996,0.6102610881154353,,,-0.007345769999999918,22.862586500000134,0.00032130091666043886,1025.6361547141112
82,0.54951763,1866.53787627,0.186653788,0.6093248027033219,,,-0.0030344800000000616,10.357913959999905,0.0002929624643944355,1025.6954700731235
83,0.54339158,1886.3184144,0.188631841,0.6072288323003578,,,-0.006126049999999994,19.780538129999968,0.0003097008766611499,1025.0095435839107
84,0.53953508,1899.93527667,0.189993528,0.6057668631184477,,,-0.0038565000000000405,13.616862269999956,0.00028321502584433776,1025.0817314929704
85,0.53654218,1909.91491227,0.190991491,0.6035555910924029,,,-0.002992899999999965,9.979635600000165,0.0002999007298122203,1024.7499106438545
86,0.53595654,1911.88119935,0.19118812,0.6024235471947857,,,-0.0005856399999999429,1.9662870800000292,0.00029784053694849766,1024.6852324946763
87,0.53217075,1924.70009656,0.19247001,0.6023489401026381,,,-0.003785790000000011,12.818897209999932,0.00029532883661407427,1024.2690939114077
88,0.52477882,1950.28165805,0.195028166,0.5993030320082247,,,-0.0073919300000000465,25.581561490000013,0.0002889553869727867,1023.4665071791225
89,0.52068397,1965.75906902,0.196575907,0.5963513539757863,,,-0.004094849999999983,15.477410969999937,0.00026456944302070376,1023.5392361208376
90,0.51684526,1980.48402097,0.198048402,0.593886170433186,,,-0.003838710000000023,14.724951950000104,0.00026069422927653776,1023.603778744085
91,0.5100228,2005.54694062,0.200554694,0.5906816638621661,,,-0.006822459999999975,25.062919649999913,0.0002722132973732685,1022.8746661864461
92,0.49835901,2052.83548436,0.205283548,0.5894833482908305,,,-0.011663790000000007,47.28854374000002,0.0002466514947866177,1023.04905967852
93,0.49771579,2055.35152284,0.205535152,0.5849503777922335,,,-0.0006432199999999999,2.516038480000134,0.0002556479182879261,1022.9809069180137
94,0.49035099,2086.4120467,0.208641205,0.5816536184848458,,,-0.007364800000000005,31.06052385999965,0.00023711126164383298,1023.0742126472711
95,0.48147262,2125.08319368,0.212508319,0.5777075564644836,,,-0.008878369999999969,38.67114698000023,0.00022958641501794757,1023.1693729790771
96,0.46904838,2178.60723722,0.217860724,0.5747121608220745,,,-0.01242424000000003,53.52404354000009,0.00023212446553076482,1021.8721952743167
97,0.4580396,2231.16941956,0.223116942,0.5695972193759946,,,-0.011008779999999996,52.56218233999971,0.0002094429780061262,1021.9639484674944
98,0.45536222,2244.3272828,0.224432728,0.5670447556745744,,,-0.002677380000000007,13.157863240000097,0.00020348136707009167,1021.9818539023757
99,0.45032334,2268.29530702,0.226829531,0.563622603049039,,,-0.005038879999999968,23.96802422000019,0.000210233432407208,1021.466318763572
100,0.44684036,2285.18645099,0.228518645,0.5578568476449708,,,-0.0034829800000000244,16.89114397000003,0.00020620154596869597,1021.113536427494
101,0.43840467,2327.23603158,0.232723603,0.5548133475750349,,,-0.008435689999999996,42.049580590000005,0.0002006129402823464,1020.2711444369395
102,0.43093573,2365.87381352,0.236587381,0.5538233816517736,,,-0.0074689399999999795,38.63778193999997,0.0001933066450710105,1019.5395589171252
103,0.41870355,2435.13466103,0.243513466,0.5535975481740002,,,-0.012232180000000037,69.26084751000008,0.0001766103136127133,1019.5995273013077
104,0.41095021,2481.12522871,0.248112523,0.5487119228053738,,,-0.0077533399999999975,45.99056767999991,0.00016858543807892886,1019.6189337746725
